cluster,variant,r2,mdae_log,mdape,n_features
C,no_month,0.184477536716538,1.8423432536140063,85.35051405838848,4
C,full,0.15820392399031447,1.855461541120417,85.30869708518645,16
C,timelimit_only,0.132808933371641,2.048287781800794,87.02034494856338,1
C,baseline_mean,0.0,1.8570814898765375,84.5344308728854,0
C,no_timelimit,-0.029240083074313583,1.9927700905709136,87.67674103762353,15
C,baseline_median,-0.08800853636021877,1.409641725116881,74.744661095636,0
NONE,no_month,0.5828901303711673,1.564990367730923,94.05947109352059,4
NONE,full,0.5615904654440683,1.7496383712972303,92.889423995987,16
NONE,timelimit_only,0.5538986944897442,1.6233850614475163,95.38398714038595,1
NONE,no_timelimit,0.04732723459580224,2.6521414047367005,200.70769912402534,15
NONE,baseline_mean,0.0,2.4181851150683658,118.04324607961838,0
NONE,baseline_median,-0.11328618183118988,1.7647307968401362,99.80332590742366,0
S,full,0.35595926407171075,1.6296344536316005,84.45555870022969,16
S,no_month,0.35451847034122563,1.6358678645914715,84.42453996324811,4
S,timelimit_only,0.33718780908876567,1.9373323051293196,88.96051010284548,1
S,no_timelimit,0.151284623217935,2.1282367240751703,90.99337210831109,15
S,baseline_mean,0.0,2.321497538844559,93.87507650991206,0
S,baseline_median,-0.016712059114288857,2.352482064138669,93.66742596810934,0
