r2,mae_log,mdae_log,rmse_log,mae_sec,mdae_sec,mape,mdape,variant,model_type,cluster,n_train,n_test,n_features
0.2205077962333578,1.67372385876477,1.5324836627833827,2.042330490100146,5931.574107373369,1775.4385986328125,162.9199466669418,82.0423476186584,xgb_full,xgboost,C,1100739,597342,4
-0.04782491918010012,2.0175459593382,1.9531616635070108,2.3679061982910365,6188.200475525921,1815.0467529296875,98.5582120350848,87.60907447944253,xgb_no_timelimit,xgboost,C,1100739,597342,3
0.20418774049687893,1.8133719918180682,1.8034313049369852,2.063599650568985,6077.66646630522,1673.215557272534,117.14746192462607,84.52664635857514,ridge_full,ridge,C,1100739,597342,4
0.006535511005115513,1.9845290094475738,1.945770408899992,2.3056655312414263,6272.980529413608,1477.5668220971893,97.78129990714658,86.91573960607622,ridge_no_timelimit,ridge,C,1100739,597342,3
0.630000573812807,1.4225131404824631,1.0983057636163895,1.8894465015115822,42986.33259300672,1209.0626831054688,1782.570297601691,84.392251755556,xgb_full,xgboost,NONE,230670,210044,4
0.283295422768698,2.1550486310234427,1.9314963211585714,2.6296876298097223,56079.21488675135,1391.0456237792969,645.1213465344714,98.43207907932616,xgb_no_timelimit,xgboost,NONE,230670,210044,3
0.5876495391571432,1.6576302245800156,1.5871050987283268,1.9946528254788696,53101.359259266064,734.0818846647962,533.2980683588866,93.2645348552623,ridge_full,ridge,NONE,230670,210044,4
0.060157060252369776,2.519572061184253,2.195214891439518,3.0113533341999386,56893.04807617084,992.8780777362256,366.0428403108683,99.67395475283318,ridge_no_timelimit,ridge,NONE,230670,210044,3
0.36187180413614484,1.794726621220915,1.5132099724754422,2.2906679707928377,15368.56208170811,2473.8968963623047,313.86911468283813,82.6131232694244,xgb_full,xgboost,S,4322110,202308,4
0.14608736822911084,2.1622355989542617,1.9870508900262607,2.6498109787906117,16574.07215264958,2528.3355102539062,346.6338864089293,89.51198377783135,xgb_no_timelimit,xgboost,S,4322110,202308,3
0.3590085350226041,1.8303617462191146,1.582950185561291,2.295801310810556,15653.253310488702,2369.544145054173,269.24311717818836,83.47399652325922,ridge_full,ridge,S,4322110,202308,4
0.14638270975964185,2.202117914278021,2.080963202179563,2.649352696009801,16738.0589487961,2212.911903096379,222.71822348379186,90.22345142265287,ridge_no_timelimit,ridge,S,4322110,202308,3
