r2,mae_log,mdae_log,rmse_log,mae_sec,mdae_sec,mape,mdape,variant,model_type,n_train,n_test,n_features,features,split_type
0.393685282986876,1.9221734768322296,1.5289697742327442,2.381849291247589,61551.20057494922,695.34375,618.8629343321114,97.31284360532408,no_timelimit,xgboost,352940,113404,3,"log_ncores,log_nhosts,month",time_based
0.1690475811415757,2.2456920934472993,1.6484821046429818,2.7883886208224378,62839.751555910974,1055.0382022606173,522.2562147286484,99.35448605636776,no_timelimit,ridge,352940,113404,3,"log_ncores,log_nhosts,month",time_based
0.4047381657684611,1.8520293246231274,1.5591255526726169,2.360039341678199,62038.22836027529,652.699462890625,499.38002042562914,98.32843921802662,no_month,xgboost,352940,113404,2,"log_ncores,log_nhosts",time_based
0.1688280784312437,2.24767626990398,1.6558350307307785,2.788756884053352,62840.78330642767,1060.0967184764518,525.7470245718256,99.35302245850194,no_month,ridge,352940,113404,2,"log_ncores,log_nhosts",time_based
0.40326374796138376,1.8571881077516836,1.5938800137605642,2.362960352036791,62020.95060852282,671.6910400390623,510.3227269509418,97.66344690856937,cores_per_node,xgboost,352940,113404,3,"log_ncores,log_nhosts,log_cores_per_node",time_based
0.16788779730832237,2.2501517174832113,1.6615017722117242,2.790333858802038,62843.46921016836,1055.4537123059313,526.4587503383439,99.35436583541964,cores_per_node,ridge,352940,113404,3,"log_ncores,log_nhosts,log_cores_per_node",time_based
0.3793079842711168,1.9760421113920237,1.6507050583388505,2.4099237571445338,61488.64860498384,713.1868286132812,644.5218611550936,96.50919695748453,full_interaction,xgboost,352940,113404,4,"log_ncores,log_nhosts,month,log_cores_per_node",time_based
0.16811752879426733,2.248229099702495,1.6514042534007598,2.7899486512592353,62842.43498240821,1051.4037373720594,523.0466157329308,99.35577136084845,full_interaction,ridge,352940,113404,4,"log_ncores,log_nhosts,month,log_cores_per_node",time_based
-0.7381493806944142,2.0885853100024447,1.9897316178992739,2.5940462705454337,6989.726394657731,1646.9672851562473,2921.2263494023337,430.0687746962858,no_timelimit,xgboost,280402,185942,3,"log_ncores,log_nhosts,month",user_aware
-0.7814747259878092,2.197504293453435,1.8334770964271723,2.6261770520467267,7025.014372921119,1756.092997159994,2819.2810532904814,384.4173245532004,no_timelimit,ridge,280402,185942,3,"log_ncores,log_nhosts,month",user_aware
-0.5336899777296611,2.0055959684446245,1.7864448496111929,2.4367050266489514,6634.881746190541,1172.8154907226578,2286.510681412017,364.5874523725664,no_month,xgboost,280402,185942,2,"log_ncores,log_nhosts",user_aware
-0.6741070297198903,2.1286577288185238,1.836972087851291,2.5458087769592406,6869.398030744078,1425.1024773690178,2407.362142982737,329.36680874826885,no_month,ridge,280402,185942,2,"log_ncores,log_nhosts",user_aware
-0.5662267670343859,2.0273184885832323,1.815487578425941,2.462416373812588,6723.2211774147445,1191.328735351563,2380.749260398006,384.8577162798712,cores_per_node,xgboost,280402,185942,3,"log_ncores,log_nhosts,log_cores_per_node",user_aware
-0.6752156827561333,2.1294413618651897,1.8380807576171154,2.546651599866739,6870.4004472712195,1425.547190009001,2409.307255237495,331.7791818107428,cores_per_node,ridge,280402,185942,3,"log_ncores,log_nhosts,log_cores_per_node",user_aware
-0.8798604819819236,2.184750352405715,2.128805325065885,2.6977206640991573,7464.075819720868,1743.9080810546848,3442.902770014742,483.7508086476789,full_interaction,xgboost,280402,185942,4,"log_ncores,log_nhosts,month,log_cores_per_node",user_aware
-0.7865071187995218,2.200996386972544,1.8406406767922219,2.6298837098579795,7032.179662212757,1769.153261072039,2831.974689139865,389.4792453321111,full_interaction,ridge,280402,185942,4,"log_ncores,log_nhosts,month,log_cores_per_node",user_aware
