r2,mae_log,mdae_log,rmse_log,mdape,variant,model_type,cluster,n_train,n_test
-0.0027525314016043634,1.8853305532849356,1.5790147021313423,2.277626718602086,97.9451720779696,global_median,baseline,S,5004293,406
-0.19849928750937096,1.9884273206886514,1.6207035727522046,2.490029861780879,94.0791831479466,user_median,baseline,S,5004293,406
0.022766344597058397,1.8475796582524597,1.4615807903595774,2.248458483820296,97.41180609508034,no_timelimit,xgboost,S,5004293,406
0.01773786196269178,1.8636176521973844,1.48498226090254,2.254235928715477,97.26299402484858,no_timelimit,ridge,S,5004293,406
-0.8919508297624374,2.5661955826750518,2.376276549071839,3.1285319024947227,540.8101216627575,with_timelimit,xgboost,S,5004293,406
-0.6628491157980729,2.413093891144967,2.30863480449402,2.9330001638744108,362.3576429972761,with_timelimit,ridge,S,5004293,406
0.09114670473921427,1.7638445809073158,1.420309902547133,2.168365847729064,95.50032571661355,with_user,xgboost,S,5004293,406
0.01602636589457107,1.8666489884141106,1.4700927318041916,2.256198967218159,97.52439948131254,with_user,ridge,S,5004293,406
-0.542318442965227,2.3125374045875877,2.2328940606470358,2.824702350149223,315.45143590031984,with_timelimit_and_user,xgboost,S,5004293,406
-0.6896674840159529,2.4306659112061526,2.228524368300068,2.9565572203106996,407.7848436651029,with_timelimit_and_user,ridge,S,5004293,406
-0.11580048163045542,2.1198081954821975,2.0874737133770997,2.384554522946389,91.78172255095332,global_median,baseline,C,1295824,273910
-0.34533479964593106,1.665315464151625,0.7632088432750432,2.618358885404877,71.68456977479316,user_median,baseline,C,1295824,273910
-0.23417851698848757,2.2434255098543683,2.226973504049206,2.5078581952127807,93.70992028769903,no_timelimit,xgboost,C,1295824,273910
-0.230494891502232,2.246719252566435,2.2263788462321044,2.504112823832443,93.53086927034886,no_timelimit,ridge,C,1295824,273910
0.2540846818965353,1.617838051801313,1.6532896694783457,1.949659398943019,81.83876995914983,with_timelimit,xgboost,C,1295824,273910
0.0728224224355325,1.9303327894482658,2.055295908352341,2.1736791765460506,87.72042766179678,with_timelimit,ridge,C,1295824,273910
0.22419765303542216,1.3608914469343236,0.810037243561128,1.988334871830873,60.62474419088926,with_user,xgboost,C,1295824,273910
-0.4082619488701549,2.3980787396552965,2.5625472872915767,2.6788950958814324,95.90753266063963,with_user,ridge,C,1295824,273910
0.5163446604342077,1.1515211231545321,0.9296964390297662,1.5699361078416654,69.20351723822272,with_timelimit_and_user,xgboost,C,1295824,273910
0.007560631484566538,2.0064179639656623,2.233839400708397,2.2488784180191823,90.3260306569456,with_timelimit_and_user,ridge,C,1295824,273910
-13.231205639840931,11.5786028971949,12.782779835179145,12.008182977884134,35603240.33898301,global_median,baseline,NONE,416693,49652
-4.928344861424662,5.1526510547506374,1.7695233277811733,7.750383267406328,87.63713969540598,user_median,baseline,NONE,416693,49652
-4.557492978574391,6.953923439671831,7.422855048444029,7.504053318848305,167280.5350553505,no_timelimit,xgboost,NONE,416693,49652
-4.259166279805492,6.768625526386386,6.865063510499747,7.299866216450493,95720.66940571871,no_timelimit,ridge,NONE,416693,49652
-5.374496750564752,7.27424281767571,6.156407847736153,8.03673043982855,47073.050378189895,with_timelimit,xgboost,NONE,416693,49652
-3.7716723029921795,6.765083253014413,6.859700884269131,6.9533126123472435,95208.19430487335,with_timelimit,ridge,NONE,416693,49652
-1.584393651234187,3.8069269378605246,2.954290075893261,5.117239960119452,1796.6100955833422,with_user,xgboost,NONE,416693,49652
-2.9624841230676355,5.254838514252073,4.524972085846298,6.336365452236355,9129.334950195638,with_user,ridge,NONE,416693,49652
-2.4618831051044867,4.77388150297417,3.9996250020737465,5.922603371165023,5357.768620089586,with_timelimit_and_user,xgboost,NONE,416693,49652
-1.8990590417582944,4.742795047897294,3.544507276542351,5.419821456692922,3362.2621760885763,with_timelimit_and_user,ridge,NONE,416693,49652
