r2,mae_log,mdae_log,smape,r2_ci_low,r2_ci_high,mae_log_ci_low,mae_log_ci_high,mdae_log_ci_low,mdae_log_ci_high,smape_ci_low,smape_ci_high,condition,source,target,k,n_train,n_test,notes
0.14339901720417203,1.6609962925737343,1.4319217547616088,122.88023308806302,0.139216373449946,0.14681620432796477,1.657812748863454,1.6650519206469525,1.4299580819355522,1.4344870053301884,122.75791833395736,123.03979693772834,NONE_to_C,NONE,C,0,166055,525341,source_only
0.12678360220704143,1.6797236890423786,1.4652389528714185,124.93306270449366,0.12382926719063098,0.13007769174003672,1.6760424156955702,1.6835480337580524,1.463646921117164,1.4669868686905825,124.83593339523605,125.03959123459833,NONE_to_C,NONE,C,100,166155,525341,source_plus_100_target_train
0.09489778065331778,1.7011897902987787,1.4821227287689478,125.95720325538599,0.09160725136183677,0.09807182341918323,1.6968910165022968,1.705051344883316,1.4778925068984388,1.4849316698389423,125.7016244261684,126.12653631264227,NONE_to_C,NONE,C,300,166355,525341,source_plus_300_target_train
0.15934406592958306,1.6939394434044175,1.5890926687805802,132.19536494528484,0.15663309664918726,0.1625835485555553,1.6904723591180817,1.6969736018153776,1.5847581045352093,1.5938509272874168,131.9509316957713,132.46288100047065,NONE_to_C,NONE,C,1000,167055,525341,source_plus_1000_target_train
0.12855881050570706,1.7291924588477008,1.5759153926445943,131.4501025184734,0.12519656156229134,0.13194703528421645,1.725854307959421,1.7330283274714562,1.57204132109527,1.5828616617607898,131.22976656793176,131.84376524981784,NONE_to_C,NONE,C,3000,169055,525341,source_plus_3000_target_train
0.14103423684504013,1.7390908481885181,1.75556699793112,141.06143407868902,0.13737504159508276,0.14450178495921479,1.7354445729677004,1.7421014723054395,1.7505559263188573,1.7585646566590127,140.80916017805143,141.21192321273358,NONE_to_C,NONE,C,10000,176055,525341,source_plus_10000_target_train
0.14172640880887644,1.773849374994583,1.7464689159094826,140.60275187639647,0.1384209425134231,0.14458935258726663,1.7704484624720238,1.7769893900090041,1.7388183714699088,1.7571614515515017,140.21476916939037,141.14151748071265,NONE_to_C,NONE,C,30000,196055,525341,source_plus_30000_target_train
0.13779095774483774,1.7825646680803482,1.7846419840759644,142.507643919772,0.13526451772940434,0.14067571184653008,1.7792185749942273,1.7852822252435676,1.7795821261290397,1.7887837493158156,142.25810308849879,142.71123454732552,NONE_to_C,NONE,C,100000,266055,525341,source_plus_100000_target_train
0.0034794048122948062,2.026289682518306,2.0986407142229986,156.30839639846928,-6.98845000658587e-05,0.006660352938099701,2.0229653149487983,2.0291784124610803,2.096865332985791,2.1001833292608776,156.23924879799202,156.368397580601,S_to_C,S,C,0,4837564,525341,source_only
0.1620380385845509,1.7982996413966763,1.7973914018059576,143.13243934414638,0.15963192829401665,0.16411942074793348,1.7955738239938417,1.8014268885249922,1.7965756125871428,1.798151598100004,143.09262624174343,143.16951318891913,S_to_C,S,C,100,4837664,525341,source_plus_100_target_train
0.05585722621110367,1.922100162732525,1.8771692001744613,146.91425314905442,0.05277347179403574,0.059185060360937014,1.918750898716829,1.9251298663649807,1.8720501866823924,1.8867621935970968,146.67813059690835,147.35436961338016,S_to_C,S,C,300,4837864,525341,source_plus_300_target_train
0.12269613049965788,1.8602077714235459,1.8863330414271866,147.33474480157352,0.11986652538090459,0.12556243302203127,1.8571571778012326,1.8635103858161957,1.884982016800975,1.887878133010494,147.27292763795836,147.40536331221134,S_to_C,S,C,1000,4838564,525341,source_plus_1000_target_train
0.115895677207422,1.8421379661452792,1.9046669834438514,148.1675280661033,0.11325373528012996,0.11859548774705586,1.8393979597897796,1.8453890179818657,1.9024835764629078,1.9084765118605196,148.0689418712369,148.3391561985852,S_to_C,S,C,3000,4840564,525341,source_plus_3000_target_train
0.10782924323874399,1.833116304971539,1.8522462332916598,145.7562451938448,0.10477488121002493,0.11055757060580211,1.8300850019662664,1.8360597910396406,1.8425199572466513,1.8628747244130295,145.29858453322854,146.25267110733597,S_to_C,S,C,10000,4847564,525341,source_plus_10000_target_train
0.14105476950536777,1.8356520800190606,1.8787477191877962,146.9868875872868,0.13883831525605358,0.14339132713805708,1.8323873056992002,1.8387428361911466,1.875948464287248,1.8814364091117248,146.85802606165203,147.11041062384794,S_to_C,S,C,30000,4867564,525341,source_plus_30000_target_train
0.12106576864819563,1.8344969119040258,1.8355970143673872,144.97085734138412,0.11858356580015036,0.12370652633810537,1.831539942303619,1.83762396503702,1.8270728451527327,1.8360796492826688,144.5650607431686,144.9937578362679,S_to_C,S,C,100000,4937564,525341,source_plus_100000_target_train
