train_spec,train_clusters,cluster_conditioning,test_cluster,n_train,n_test,train_mem_coverage,test_mem_coverage,r2,mae_log,mdae_log,smape,r2_ci_low,r2_ci_high,mae_log_ci_low,mae_log_ci_high,mdae_log_ci_low,mdae_log_ci_high,smape_ci_low,smape_ci_high,shift_smd_mean,shift_smd_max,shift_jsd_mean
single,S,False,S,4837540,166798,0.999991008452055,0.999991008452055,0.3692168215145427,0.4569018997051198,0.38459112910031756,37.991982952290286,0.35847204608536937,0.38049042302444797,0.45470930903409723,0.4586465359407884,0.38189036533180526,0.3873830249830911,37.73157968176231,38.261024522068794,0.1112964394221882,0.1433136999501324,0.052591737139957635
single,S,False,C,4837540,525165,0.999991008452055,0.9998395949883322,-0.11563825278284123,0.8885891866959271,0.9488792878948407,88.35589560742052,-0.11803153592970891,-0.11322098352066688,0.8872063040466197,0.8900944520871533,0.9466594045049914,0.9508929651208359,88.17714927731672,88.51788505833255,1.1852951603757418,2.6783855356435002,0.39939297657242273
single,S,False,NONE,4837540,107231,0.999991008452055,0.9840400553226619,-21.33346885886639,2.8844627303842465,2.252486615179708,161.94592543048486,-21.50333796694607,-21.153556158208577,2.874736253100606,2.894399720913199,2.2452120349471207,2.260070838826523,161.69469156200623,162.20627633489957,0.7944824531869189,1.034377610766576,0.3275346751057807
single,C,False,S,1267081,166798,0.9998395949883322,0.999991008452055,-0.33330826699170535,0.628764330820536,0.43541799108546764,42.86667402915326,-0.3448464298688471,-0.3231637507338239,0.6256350439814113,0.6316630687924014,0.43205610974749775,0.4387432812447338,42.54581443871351,43.18381099566779,112801900.39758773,338405698.9806806,0.38663132041688725
single,C,False,C,1267081,525165,0.9998395949883322,0.9998395949883322,0.09496888249536695,0.7986952388016383,0.6652674854395353,64.177064541169,0.09243970982737437,0.09761068136363672,0.7975132411354027,0.7999429936234865,0.6623882340507612,0.6679948220916371,63.91866078126756,64.42159912778307,0.115230972243757,0.23317431541444733,0.048339443495265755
single,C,False,NONE,1267081,107231,0.9998395949883322,0.9840400553226619,-7.675811776378389,1.9672413918158071,1.8192927827424716,144.1924976114626,-7.735475503307702,-7.620979328750215,1.962971735019051,1.9713999890411562,1.8185534754693826,1.8216419289096084,144.15698564584977,144.30520993362958,71604568.76656364,214813705.3133087,0.2562872367591456
single,NONE,False,S,351670,166798,0.9840400553226619,0.999991008452055,-6.432700558288518,1.892161077400803,1.970395728026786,151.06144407498886,-6.539674464213962,-6.331339468336109,1.8875527186853371,1.8964839059319574,1.9689955229210239,1.9731825137133423,151.00127291175048,151.18101463863175,1.0630116808458274,2.75537932185311,0.25601692289520467
single,NONE,False,C,351670,525165,0.9840400553226619,0.9998395949883322,-6.729202857717136,2.564714184178633,2.6653792787740853,173.9810306518944,-6.760805549289962,-6.701419010307085,2.5623322210361885,2.5667721183892396,2.6627555472443976,2.667727146202634,173.91713110998958,174.03808976120172,0.5523571843523635,1.4113464875999087,0.23735471392496024
single,NONE,False,NONE,351670,107231,0.9840400553226619,0.9840400553226619,-0.027267626666283462,0.5580992519772119,0.4681984976035549,45.98291475109092,-0.033450866488767515,-0.020471546844628062,0.55486741458903,0.5602707533209131,0.4648075386317796,0.47192417698943046,45.66161419483222,46.33563082153067,0.24547286181777328,0.3054245580124723,0.07889469268063379
pooled_all_no_cluster,S+C+NONE,False,S,6456291,166798,0.9946235529210163,0.999991008452055,0.2150244690574612,0.476334676987792,0.39642697289719186,39.131554511030984,0.2057978305835632,0.22469566472086816,0.4745286244429053,0.4788183626733676,0.39451881837921093,0.3980801697878062,38.94801486258007,39.29051852028276,0.21107465660669233,0.3375141036977697,0.0861637644513585
pooled_all_no_cluster,S+C+NONE,False,C,6456291,525165,0.9946235529210163,0.9998395949883322,-0.03855648901375708,0.8661186692342777,0.8893394135060808,83.50152992185912,-0.04140322263450247,-0.0352671786073473,0.8648207708317929,0.8674731769895145,0.8868614947367974,0.8924445663041822,83.29683034632245,83.75775236397924,0.7348915466646638,1.5054836819558641,0.2535741855698881
pooled_all_no_cluster,S+C+NONE,False,NONE,6456291,107231,0.9946235529210163,0.9840400553226619,-1.6471947216111853,0.8845231209227709,0.770590788610173,73.45947441343952,-1.6728007960270814,-1.6203628466645272,0.880397920692135,0.8886836977946414,0.7613010843557054,0.7798891614968271,72.65445599913863,74.262492166423,0.5179895409303357,0.7577293744371865,0.23633347261867357
pooled_all_with_cluster,S+C+NONE,True,S,6456291,166798,0.9946235529210163,0.999991008452055,0.36751592145444734,0.45752801352177647,0.3813852776431035,37.6828723557612,0.35658628355923866,0.37881657442191635,0.45562702845870173,0.4591998455828954,0.37875171226653703,0.3846187117333797,37.42880196651176,37.99463585574843,0.3243077551180224,0.5784658567023746,0.07450428685472023
pooled_all_with_cluster,S+C+NONE,True,C,6456291,525165,0.9946235529210163,0.9998395949883322,0.06194866046792957,0.8235246360310421,0.8270682005715905,78.29386000556214,0.05999582251440036,0.06391178515049926,0.8222328570206412,0.8248693757665924,0.8229010811260608,0.8307809612673998,77.94072533373443,78.60801282114036,1.0328517805161614,2.023710676479396,0.26432908212346995
pooled_all_with_cluster,S+C+NONE,True,NONE,6456291,107231,0.9946235529210163,0.9840400553226619,-0.041871209242755114,0.5556570527477004,0.44252219853640895,43.54394075795247,-0.046251347782990185,-0.03576199296899343,0.5525104532204851,0.5580044628878977,0.4358603612671205,0.4452160888506178,42.908879559879175,43.800487967470296,1.3238712697095842,4.166406818711705,0.2913511693762499
